,account_length,international_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn,total_charges,total_calls,total_minutes
31,98,0,0,126.3,102.0,21.47,166.8,85,14.18,187.8,135.0,8.45,9.4,2,2.54,3,0,46.63999999999999,324.0,490.3
32,135,1,36,173.1,85.0,29.43,203.9,107,17.33,122.2,78.0,5.5,14.6,9,3.94,0,1,56.199999999999996,279.0,513.8000000000001
33,34,0,0,124.8,82.0,21.22,282.2,98,23.99,311.5,78.0,14.02,10.0,4,2.7,2,0,61.92999999999999,262.0,728.5
34,160,0,0,91.59,77.0,15.573500000000001,165.3,110,14.05,178.5,92.0,8.03,9.2,4,2.48,3,0,40.1335,283.0,444.59000000000003
35,64,0,0,154.0,67.0,26.18,225.8,118,19.19,265.3,86.0,11.94,5.7,3,1.54,1,0,58.849999999999994,274.0,650.8000000000001
36,59,0,28,120.9,97.0,20.55,213.0,92,18.11,163.1,116.0,7.34,8.5,5,2.3,2,0,48.3,310.0,505.5
37,65,0,0,211.3,120.0,35.92,162.6,122,13.82,134.7,118.0,6.06,13.2,5,3.56,3,0,59.36,365.0,521.8000000000001
38,142,0,0,187.0,133.0,31.79,134.6,74,11.44,242.2,127.0,10.9,7.4,5,2.0,2,0,56.129999999999995,339.0,571.1999999999999
39,97,0,24,133.2,135.0,22.64,217.2,67,18.46,118.09,79.0,5.3145,11.0,3,2.97,1,0,49.3845,284.0,479.49
40,52,0,0,191.9,108.0,32.62,269.8,96,22.93,236.8,87.0,10.66,7.8,5,2.11,3,0,68.32,296.0,706.3
41,60,0,0,220.6,67.0,37.5,211.1,115,17.94,249.0,129.0,11.21,6.8,3,1.84,1,0,68.49,314.0,687.5
42,10,0,0,186.1,112.0,31.64,190.2,67,16.17,282.8,67.0,12.73,11.4,6,3.08,2,0,63.620000000000005,252.0,670.4999999999999
43,96,0,0,160.2,117.0,27.23,267.5,67,22.74,228.5,68.0,10.28,9.3,5,2.51,2,0,62.75999999999999,257.0,665.5
44,81,0,0,175.5,67.0,29.84,249.3,85,21.19,270.2,98.0,12.16,10.2,3,2.75,1,0,65.94,253.0,705.2
45,141,0,0,126.9,98.0,21.57,180.0,67,15.3,140.8,128.0,6.34,8.0,2,2.16,1,0,45.370000000000005,295.0,455.70000000000005
46,121,1,30,198.4,129.0,33.73,118.2,77,10.05,181.2,77.0,8.15,5.8,3,1.57,3,1,53.5,286.0,503.6
47,125,0,0,229.3,103.0,38.98,177.4,126,15.08,189.3,95.0,8.52,12.0,8,3.24,1,0,65.82,332.0,608.0
48,167,0,0,192.1,97.0,32.66,169.9,94,14.44,166.6,67.0,7.5,11.4,4,3.08,1,0,57.67999999999999,262.0,540.0
49,116,0,34,268.6,83.0,45.66,178.2,142,15.15,166.3,106.0,7.48,11.6,3,3.13,2,0,71.42,334.0,624.7
50,149,0,28,180.7,92.0,30.72,187.8,67,15.96,265.5,67.0,11.95,12.6,3,3.4,3,0,62.03,229.0,646.6
51,38,0,0,131.2,98.0,22.3,162.9,97,13.85,159.0,106.0,7.15,8.2,6,2.21,2,0,45.51,307.0,461.3
52,40,0,36,148.1,74.0,25.18,169.5,88,14.41,214.1,102.0,9.63,6.2,5,1.67,2,0,50.89,269.0,537.9000000000001
53,43,0,0,251.5,105.0,42.76,212.8,104,18.09,157.8,67.0,7.1,9.3,4,2.51,0,0,70.46,280.0,631.4
54,113,0,0,125.2,93.0,21.28,206.4,119,17.54,129.3,139.0,5.82,8.3,8,2.24,0,0,46.88,359.0,469.2
55,126,0,0,211.6,70.0,35.97,216.9,80,18.44,153.5,67.0,6.91,7.8,1,2.11,1,0,63.42999999999999,218.0,589.8
56,150,1,0,178.9,101.0,30.41,169.1,110,14.37,148.6,100.0,6.69,13.8,3,3.73,4,1,55.199999999999996,314.0,510.40000000000003
57,138,0,0,241.8,93.0,41.11,170.5,83,14.49,295.3,104.0,13.29,11.8,7,3.19,3,0,72.08,287.0,719.4
58,162,0,36,224.9,97.0,38.23,188.2,84,16.0,254.6,67.0,11.46,12.1,2,3.27,0,0,68.96,250.0,679.8000000000001
59,147,0,0,248.6,83.0,42.26,148.9,85,12.66,172.5,109.0,7.76,8.0,4,2.16,3,0,64.84,281.0,578.0
60,90,0,0,203.4,145.51000000000022,34.58,226.7,117,19.27,152.4,105.0,6.86,7.3,4,1.97,1,0,62.67999999999999,371.5100000000002,589.8
61,85,0,0,235.8,109.0,40.09,157.2,94,13.36,188.2,99.0,8.47,12.0,3,3.24,0,0,65.16,305.0,593.2
62,50,0,0,157.1,90.0,26.71,223.3,72,18.98,181.4,111.0,8.16,6.1,2,1.65,1,0,55.5,275.0,567.9
63,82,1,0,300.3,109.0,51.05,181.0,100,15.39,270.1,73.0,12.15,11.7,4,3.16,0,1,81.75,286.0,763.1000000000001
64,144,1,0,91.59,117.0,15.573500000000001,118.2,85,10.05,173.0,99.0,7.79,8.2,7,2.21,4,1,35.62350000000001,308.0,390.99
65,46,0,0,214.1,72.0,36.4,164.4,104,13.97,177.5,113.0,7.99,8.2,3,2.21,2,0,60.56999999999999,292.0,564.2
66,70,0,0,170.2,98.0,28.93,155.2,102,13.19,228.6,76.0,10.29,15.0,2,4.05,1,0,56.459999999999994,278.0,569.0
67,144,0,0,201.1,99.0,34.19,303.5,74,25.8,224.0,119.0,10.08,13.2,2,3.56,1,0,73.63,294.0,741.8000000000001
68,116,0,0,215.4,104.0,36.62,204.8,79,17.41,278.5,109.0,12.53,12.6,5,3.4,3,0,69.96,297.0,711.3000000000001
69,70,0,24,249.5,101.0,42.42,259.7,98,22.07,222.7,68.0,10.02,9.8,4,2.65,1,0,77.16,271.0,741.6999999999999
70,128,0,29,179.3,104.0,30.48,225.9,86,19.2,317.5550000000001,78.0,14.290200000000004,8.6,7,2.32,0,0,66.2902,275.0,731.3550000000001
71,94,1,0,157.9,105.0,26.84,155.0,101,13.18,189.6,84.0,8.53,8.0,5,2.16,4,1,50.71,295.0,510.5
72,111,0,0,214.3,118.0,36.43,208.5,76,17.72,182.4,98.0,8.21,12.0,2,3.24,1,0,65.6,294.0,617.2
73,74,0,35,154.1,104.0,26.2,123.4,84,10.49,202.1,67.0,9.09,10.9,9,2.94,2,0,48.72,264.0,490.5
74,128,1,0,237.9,125.0,40.44,247.6,93,21.05,208.9,68.0,9.4,13.9,4,3.75,1,1,74.64,290.0,708.3
75,82,0,0,143.9,67.0,24.46,194.9,105,16.57,118.09,94.0,5.3145,11.1,2,3.0,1,0,49.344500000000004,268.0,467.99
76,155,1,0,203.4,100.0,34.58,190.9,104,16.23,196.0,119.0,8.82,8.9,4,2.4,0,1,62.03,327.0,599.1999999999999
77,80,0,0,124.3,100.0,21.13,173.0,107,14.71,253.2,67.0,11.39,7.9,9,2.13,1,0,49.36,283.0,558.4
78,78,0,0,252.9,93.0,42.99,178.4,112,15.16,263.9,105.0,11.88,9.5,7,2.57,3,0,72.60000000000001,317.0,704.6999999999999
79,90,0,0,179.1,71.0,30.45,190.6,81,16.2,127.7,91.0,5.75,10.6,7,2.86,3,0,55.260000000000005,250.0,508.0
80,73,0,0,160.1,110.0,27.22,213.3,72,18.13,174.1,72.0,7.83,13.0,4,3.51,0,0,56.69,258.0,560.5
81,99,0,0,198.2,87.0,33.69,207.3,76,17.62,190.9,113.0,8.59,8.7,3,2.35,4,0,62.25,279.0,605.1000000000001
82,120,1,0,212.1,131.0,36.06,209.4,104,17.8,167.2,96.0,7.52,5.7,5,1.54,1,1,62.92,336.0,594.4
83,77,1,0,251.8,72.0,42.81,205.7,126,17.48,275.2,109.0,12.38,9.8,7,2.65,2,1,75.32000000000001,314.0,742.5
84,98,0,21,161.2,114.0,27.4,252.2,83,21.44,160.2,92.0,7.21,5.7,8,1.54,4,0,57.59,297.0,579.3
85,108,0,0,178.3,137.0,30.31,189.0,76,16.07,129.1,102.0,5.81,14.6,5,3.94,0,0,56.13,320.0,511.0
86,95,0,0,135.0,99.0,22.95,183.6,106,15.61,245.3,102.0,11.04,12.5,9,3.38,1,0,52.98,316.0,576.4
87,122,0,0,170.5,94.0,28.99,173.7,109,14.76,248.6,75.0,11.19,11.3,2,3.05,1,0,57.989999999999995,280.0,604.0999999999999
88,95,0,0,238.1,67.0,40.48,187.2,98,15.91,190.0,115.0,8.55,11.8,4,3.19,4,0,68.13,284.0,627.0999999999999
89,36,0,29,281.4,102.0,47.84,202.2,76,17.19,187.2,113.0,8.42,9.0,6,2.43,2,0,75.88000000000001,297.0,679.8
90,93,0,21,117.9,131.0,20.04,164.5,115,13.98,217.0,86.0,9.76,9.8,3,2.65,1,0,46.43000000000001,335.0,509.2
91,157,0,0,229.8,90.0,39.07,147.9,121,12.57,241.4,108.0,10.86,9.6,7,2.59,3,0,65.09,326.0,628.7
92,120,0,0,165.0,100.0,28.05,317.2,83,26.96,119.2,86.0,5.36,8.3,8,2.24,1,0,62.61,277.0,609.6999999999999
93,98,0,0,161.0,117.0,27.37,190.9,113,16.23,227.7,113.0,10.25,12.1,4,3.27,4,0,57.120000000000005,347.0,591.7
94,125,0,0,126.7,108.0,21.54,206.0,90,17.51,247.8,114.0,11.15,13.3,7,3.59,1,0,53.790000000000006,319.0,593.8
95,63,0,0,91.59,125.0,15.573500000000001,169.6,67,14.42,211.4,88.0,9.51,9.4,3,2.54,1,0,42.0435,283.0,481.99
96,36,1,36,196.8,89.0,33.46,254.9,122,21.67,138.3,126.0,6.22,16.551000000000023,6,4.470200000000005,0,1,65.8202,343.0,606.551
97,64,0,0,162.6,83.0,27.64,152.3,109,12.95,118.09,122.0,5.3145,14.2,3,3.83,1,0,49.7345,317.0,447.19
98,74,1,0,282.5,114.0,48.03,219.9,67,18.69,170.0,115.0,7.65,9.4,4,2.54,1,1,76.91,300.0,681.8
99,46,0,0,210.2,92.0,35.73,227.3,77,19.32,200.1,116.0,9.0,13.1,7,3.54,1,0,67.59,292.0,650.6999999999999
100,41,0,22,213.8,102.0,36.35,141.8,86,12.05,142.2,123.0,6.4,7.2,3,1.94,0,0,56.739999999999995,314.0,505.0
101,121,0,0,190.7,103.0,32.42,183.5,117,15.6,220.8,103.0,9.94,9.8,4,2.65,3,0,60.61000000000001,327.0,604.8
102,167,0,0,170.9,124.0,29.05,132.3,95,11.25,118.09,89.0,5.3145,11.6,3,3.13,1,0,48.7445,311.0,432.89000000000004
103,130,0,0,154.2,119.0,26.21,118.2,98,10.05,227.4,117.0,10.23,9.2,5,2.48,2,0,48.97,339.0,509.0
104,85,0,0,201.4,67.0,34.24,229.4,104,19.5,252.5,106.0,11.36,12.0,3,3.24,1,0,68.34,280.0,695.3
105,162,1,0,91.59,108.0,15.573500000000001,157.5,87,13.39,154.8,82.0,6.97,9.1,3,2.46,4,1,38.3935,280.0,412.99
106,61,1,27,187.5,124.0,31.88,146.6,103,12.46,225.7,129.0,10.16,6.4,6,1.73,4,1,56.23,362.0,566.1999999999999
107,92,0,0,91.7,90.0,15.59,193.7,123,16.46,175.0,86.0,7.88,9.2,4,2.48,2,0,42.41,303.0,469.59999999999997
108,90,0,0,145.5,92.0,24.74,217.7,114,18.5,146.9,123.0,6.61,10.9,2,2.94,3,0,52.79,331.0,521.0
109,75,0,0,166.3,125.0,28.27,158.2,86,13.45,256.7,80.0,11.55,6.1,5,1.65,1,0,54.92,296.0,587.3000000000001
110,78,0,0,231.0,115.0,39.27,230.4,140,19.58,261.4,120.0,11.76,9.5,3,2.57,1,0,73.18,378.0,732.3
111,82,0,0,200.3,96.0,34.05,201.2,102,17.1,206.1,67.0,9.27,7.1,1,1.92,4,0,62.339999999999996,266.0,614.6999999999999
112,163,0,0,197.0,109.0,33.49,202.6,128,17.22,206.4,80.0,9.29,9.1,9,2.46,1,0,62.46,326.0,615.1
113,91,0,0,129.9,112.0,22.08,173.3,83,14.73,247.2,130.0,11.12,11.2,3,3.02,3,0,50.95,328.0,561.6000000000001
114,127,0,36,183.2,117.0,31.14,126.8,76,10.78,263.3,71.0,11.85,11.2,8,3.02,1,0,56.79,272.0,584.5
115,113,0,23,205.0,101.0,34.85,152.0,67,12.92,158.6,67.0,7.14,10.2,5,2.75,2,0,57.660000000000004,240.0,525.8000000000001
116,110,0,0,148.5,115.0,25.25,276.4,84,23.49,193.6,112.0,8.71,12.4,3,3.35,1,0,60.8,314.0,630.9
117,120,0,36,200.3,68.0,34.05,220.4,97,18.73,253.8,116.0,11.42,10.5,4,2.84,0,0,67.03999999999999,285.0,685.0
118,157,0,28,192.6,107.0,32.74,195.5,74,16.62,118.09,139.0,5.3145,6.8,5,1.84,3,0,56.5145,325.0,512.99
119,103,0,0,246.5,67.0,41.91,195.5,84,16.62,200.5,96.0,9.02,11.7,4,3.16,1,0,70.71,251.0,654.2
120,117,1,0,167.1,86.0,28.41,177.5,87,15.09,249.4,132.0,11.22,14.1,7,3.81,2,1,58.53,312.0,608.1
121,121,0,0,181.5,121.0,30.86,218.4,98,18.56,161.6,103.0,7.27,8.5,5,2.3,1,0,58.989999999999995,327.0,570.0
122,145,0,36,257.7,97.0,43.81,162.1,95,13.78,286.9,86.0,12.91,11.1,4,3.0,2,0,73.5,282.0,717.8
123,113,0,0,193.8,99.0,32.95,221.4,125,18.82,172.3,67.0,7.75,10.6,6,2.86,1,0,62.38,297.0,598.1
124,117,0,0,102.8,119.0,17.48,206.7,91,17.57,299.0,105.0,13.46,10.1,7,2.73,1,0,51.24,322.0,618.6
125,65,0,0,187.9,116.0,31.94,157.6,117,13.4,227.3,86.0,10.23,7.5,6,2.03,1,0,57.6,325.0,580.3000000000001
126,56,0,0,226.0,112.0,38.42,248.5,118,21.12,140.5,142.0,6.32,6.9,9,1.86,1,0,67.72,381.0,621.9
127,96,0,0,260.4,115.0,44.27,146.0,67,12.41,269.5,87.0,12.13,11.5,4,3.11,4,0,71.92,273.0,687.4
128,151,0,0,178.7,116.0,30.38,292.1,138,24.83,265.9,101.0,11.97,9.8,4,2.65,0,0,69.83,359.0,746.5
129,83,1,0,304.85500000000013,120.0,51.82590000000002,227.4,116,19.33,153.9,114.0,6.93,15.8,7,4.27,0,1,82.35590000000002,357.0,701.955
130,139,0,23,157.6,129.0,26.79,247.0,96,21.0,259.2,112.0,11.66,13.7,2,3.7,0,0,63.15,339.0,677.5
131,6,0,0,183.6,117.0,31.21,256.7,72,21.82,178.6,79.0,8.04,10.2,2,2.75,1,0,63.82,270.0,629.1
132,115,0,24,142.1,124.0,24.16,183.4,129,15.59,164.8,114.0,7.42,9.6,4,2.59,1,0,49.760000000000005,371.0,499.9
133,141,0,0,217.1,110.0,36.91,241.5,111,20.53,253.5,103.0,11.41,12.0,6,3.24,0,0,72.09,330.0,724.1
134,62,0,0,98.9,103.0,16.81,135.4,122,11.51,236.6,82.0,10.65,12.2,1,3.29,1,0,42.26,308.0,483.09999999999997
135,167,0,31,189.8,126.0,32.27,163.3,133,13.88,264.8,126.0,11.92,7.5,3,2.03,1,0,60.1,388.0,625.4000000000001
136,148,0,0,202.0,102.0,34.34,243.2,128,20.67,261.3,90.0,11.76,10.9,3,2.94,1,0,69.71000000000001,323.0,717.4
137,94,0,36,170.1,124.0,28.92,193.3,116,16.43,118.09,73.0,5.3145,12.8,4,3.46,1,0,54.124500000000005,317.0,494.29
138,32,0,0,230.9,87.0,39.25,187.4,90,15.93,154.0,67.0,6.93,6.3,2,1.7,0,0,63.809999999999995,246.0,578.5999999999999
139,68,0,0,237.1,105.0,40.31,223.5,105,19.0,118.09,79.0,5.3145,13.2,2,3.56,1,0,68.1845,291.0,591.8900000000001
140,25,0,0,119.3,87.0,20.28,211.5,101,17.98,268.9,86.0,12.1,10.5,4,2.84,3,0,53.2,278.0,610.2
141,65,0,0,116.8,87.0,19.86,178.9,93,15.21,182.4,147.51000000000022,8.21,14.1,2,3.81,1,0,47.09,329.5100000000002,492.20000000000005
142,167,0,0,219.2,92.0,37.26,149.4,125,12.7,244.7,104.0,11.01,6.1,5,1.65,0,0,62.620000000000005,326.0,619.4
143,94,0,0,252.6,104.0,42.94,169.0,125,14.37,170.9,106.0,7.69,11.1,7,3.0,2,0,68.0,342.0,603.6
144,62,0,0,147.1,91.0,25.01,190.4,107,16.18,195.2,115.0,8.78,12.2,3,3.29,0,0,53.26,316.0,544.9
145,116,0,0,173.5,93.0,29.5,194.1,76,16.5,208.0,112.0,9.36,16.2,9,4.37,3,0,59.730000000000004,290.0,591.8000000000001
146,70,0,0,232.1,122.0,39.46,292.3,112,24.85,201.2,112.0,9.05,5.7,0,1.54,3,0,74.9,346.0,731.3
147,94,0,23,197.1,125.0,33.51,214.5,136,18.23,282.2,103.0,12.7,9.5,5,2.57,4,0,67.01,369.0,703.3
148,126,1,0,91.59,94.0,15.573500000000001,138.7,118,11.79,136.8,91.0,6.16,11.9,1,3.21,4,1,36.7335,304.0,378.99
149,67,0,36,115.6,111.0,19.65,237.7,94,20.2,169.9,103.0,7.65,9.9,9,2.67,2,0,50.17,317.0,533.1
150,19,0,0,186.1,98.0,31.64,254.3,67,21.62,214.0,127.0,9.63,14.6,7,3.94,2,0,66.83,299.0,669.0000000000001
151,167,0,0,259.9,68.0,44.18,245.0,122,20.83,134.4,121.0,6.05,8.4,3,2.27,3,0,73.33,314.0,647.6999999999999
152,73,0,0,214.3,145.0,36.43,268.5,135,22.82,241.2,92.0,10.85,10.8,9,2.92,1,0,73.02000000000001,381.0,734.8
153,106,0,0,158.7,74.0,26.98,118.2,139,10.05,198.5,103.0,8.93,10.2,4,2.75,1,0,48.709999999999994,320.0,485.59999999999997
154,93,0,0,271.6,71.0,46.17,229.4,108,19.5,118.09,121.0,5.3145,10.9,3,2.94,2,0,73.9245,303.0,629.99
155,51,0,0,232.4,109.0,39.51,187.4,95,15.93,231.2,107.0,10.4,9.1,3,2.46,1,0,68.3,314.0,660.1
156,130,0,0,176.9,109.0,30.07,118.2,104,10.05,238.0,69.0,10.71,9.5,2,2.57,1,0,53.400000000000006,284.0,542.6
157,80,0,0,209.9,74.0,35.68,195.1,77,16.58,208.2,119.0,9.37,8.8,4,2.38,2,0,64.00999999999999,274.0,622.0
158,94,0,0,137.5,118.0,23.38,203.2,88,17.27,150.0,131.0,6.75,13.4,2,3.62,0,0,51.019999999999996,339.0,504.09999999999997
159,118,0,23,289.5,67.0,49.22,166.6,111,14.16,119.1,88.0,5.36,9.5,4,2.57,1,0,71.31,270.0,584.7
160,117,0,23,198.1,86.0,33.68,177.0,86,15.05,180.5,92.0,8.12,6.8,6,1.84,1,0,58.69,270.0,562.4
161,78,0,0,149.7,119.0,25.45,182.2,115,15.49,261.5,126.0,11.77,9.7,8,2.62,0,0,55.330000000000005,368.0,603.1
162,167,1,0,304.85500000000013,67.0,51.82590000000002,176.3,113,14.99,181.7,102.0,8.18,10.7,6,2.89,2,1,77.88590000000002,288.0,673.5550000000002
163,131,1,26,292.9,101.0,49.79,199.7,97,16.97,255.3,127.0,11.49,13.8,7,3.73,4,1,81.98,332.0,761.7
164,63,0,0,91.59,67.0,15.573500000000001,177.0,106,15.05,245.7,89.0,11.06,13.0,3,3.51,0,0,45.1935,265.0,527.29
165,53,0,24,145.7,145.51000000000022,24.77,220.5,136,18.74,249.9,96.0,11.25,13.1,5,3.54,3,0,58.3,382.5100000000002,629.2
166,62,0,0,182.3,101.0,30.99,318.651,93,27.0851,245.0,131.0,11.03,11.2,1,3.02,2,0,72.1251,326.0,757.1510000000001
167,97,0,0,218.0,86.0,37.06,184.0,94,15.64,240.5,110.0,10.82,6.4,8,1.73,3,0,65.25,298.0,648.9
168,105,0,0,140.6,109.0,23.9,178.6,67,15.18,217.0,83.0,9.76,6.8,3,1.84,2,0,50.68,262.0,543.0
169,157,0,0,152.7,105.0,25.96,257.5,80,21.89,198.1,93.0,8.91,9.4,4,2.54,1,0,59.3,282.0,617.6999999999999
170,66,0,36,106.7,76.0,18.14,209.8,77,17.83,190.4,117.0,8.57,12.1,2,3.27,1,0,47.81,272.0,519.0
171,122,0,0,243.8,98.0,41.45,118.2,72,10.05,179.8,84.0,8.09,13.7,8,3.7,2,0,63.290000000000006,262.0,555.5000000000001
172,38,0,0,194.4,94.0,33.05,186.7,95,15.87,223.3,90.0,10.05,10.8,5,2.92,3,0,61.88999999999999,284.0,615.2
173,106,0,0,213.9,95.0,36.36,151.9,70,12.91,260.1,124.0,11.7,12.2,5,3.29,3,0,64.25999999999999,294.0,638.1
174,99,0,0,217.2,112.0,36.92,246.7,89,20.97,226.1,89.0,10.17,15.8,7,4.27,3,0,72.33,297.0,705.8
175,99,0,0,241.1,72.0,40.99,155.6,98,13.23,188.2,109.0,8.47,11.6,9,3.13,1,0,65.82000000000001,288.0,596.5
176,144,0,0,203.5,100.0,34.6,247.6,103,21.05,194.3,94.0,8.74,11.9,9,3.21,0,0,67.6,306.0,657.3
177,93,0,0,179.3,93.0,30.48,178.6,98,15.18,225.2,131.0,10.13,11.5,6,3.11,3,0,58.9,328.0,594.6
178,120,0,0,180.0,80.0,30.6,224.2,82,19.06,265.4,91.0,11.94,5.7,7,1.54,3,0,63.14,260.0,675.3
179,106,0,0,223.0,121.0,37.91,118.2,98,10.05,188.7,107.0,8.49,7.1,9,1.92,0,0,58.36999999999999,335.0,537.0
180,81,0,0,183.6,116.0,31.21,152.6,98,12.97,212.2,99.0,9.55,12.2,6,3.29,3,0,57.019999999999996,319.0,560.6
181,127,0,22,166.0,114.0,28.22,174.5,103,14.83,244.9,68.0,11.02,10.2,6,2.75,1,0,56.81999999999999,291.0,595.6
182,65,0,0,136.1,112.0,23.14,272.9,96,23.2,220.2,104.0,9.91,5.7,2,1.54,1,0,57.790000000000006,314.0,634.9
183,35,0,0,149.3,113.0,25.38,242.2,122,20.59,174.3,104.0,7.84,8.9,6,2.4,2,0,56.209999999999994,345.0,574.6999999999999
184,88,0,0,91.59,97.0,15.573500000000001,168.2,76,14.3,236.0,113.0,10.62,13.8,1,3.73,2,0,44.2235,287.0,509.59000000000003
185,65,0,0,213.4,111.0,36.28,234.5,94,19.93,250.1,123.0,11.25,5.7,4,1.54,1,0,69.0,332.0,703.7
186,123,0,0,206.9,85.0,35.17,244.7,78,20.8,221.5,136.0,9.97,7.7,2,2.08,3,0,68.02,301.0,680.8
187,126,0,27,186.2,78.0,31.65,189.6,83,16.12,118.09,139.0,5.3145,9.6,3,2.59,2,0,55.674499999999995,303.0,503.49
188,45,0,22,196.6,84.0,33.42,313.2,92,26.62,163.3,108.0,7.35,11.9,3,3.21,0,0,70.60000000000001,287.0,684.9999999999999
189,93,1,0,304.85500000000013,109.0,51.82590000000002,129.4,100,11.0,217.6,74.0,9.79,10.5,2,2.84,0,1,75.45590000000001,285.0,662.3550000000001
190,63,0,36,199.0,110.0,33.83,291.3,111,24.76,197.6,92.0,8.89,11.0,6,2.97,1,0,70.45,319.0,698.9000000000001
191,100,0,0,203.1,96.0,34.53,217.0,126,18.45,180.9,122.0,8.14,13.5,2,3.65,3,0,64.77,346.0,614.5
